gestion,departamento,tipo,cantidad
2011,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1484
2011,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2012,BENI,EMPRESA UNIPERSONAL,3649
2012,BENI,SOCIEDAD ANONIMA,29
2012,BENI,SOCIEDAD COLECTIVA,1
2012,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,529
2012,BENI,SOCIEDAD EN COMANDITA SIMPLE,1
2012,CHUQUISACA,EMPRESA UNIPERSONAL,5298
2012,CHUQUISACA,SOCIEDAD ANONIMA,26
2012,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2012,CHUQUISACA,SOCIEDAD COLECTIVA,2
2012,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,819
2012,COCHABAMBA,EMPRESA UNIPERSONAL,22310
2012,COCHABAMBA,SOCIEDAD ANONIMA,295
2012,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,5
2012,COCHABAMBA,SOCIEDAD COLECTIVA,21
2012,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,5250
2012,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,3
2012,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,12
2012,LA PAZ,EMPRESA UNIPERSONAL,34392
2012,LA PAZ,SOCIEDAD ANONIMA,1362
2012,LA PAZ,SOCIEDAD ANONIMA MIXTA,4
2012,LA PAZ,SOCIEDAD COLECTIVA,50
2012,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,15644
2012,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2012,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,9
2012,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,252
2012,ORURO,EMPRESA UNIPERSONAL,5883
2012,ORURO,SOCIEDAD ANONIMA,44
2012,ORURO,SOCIEDAD COLECTIVA,6
2012,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1548
2012,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2012,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2012,PANDO,EMPRESA UNIPERSONAL,1293
2012,PANDO,SOCIEDAD ANONIMA,9
2012,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,171
2012,POTOSI,EMPRESA UNIPERSONAL,4171
2012,POTOSI,SOCIEDAD ANONIMA,32
2012,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2012,POTOSI,SOCIEDAD COLECTIVA,8
2012,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1402
2012,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,4
2012,SANTA CRUZ,EMPRESA UNIPERSONAL,28368
2012,SANTA CRUZ,SOCIEDAD ANONIMA,1095
2012,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,3
2012,SANTA CRUZ,SOCIEDAD COLECTIVA,13
2012,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,11848
2012,SANTA CRUZ,SOCIEDAD EN COMANDITA POR ACCIONES,1
2012,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,2
2012,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,155
2012,TARIJA,EMPRESA UNIPERSONAL,6101
2012,TARIJA,SOCIEDAD ANONIMA,46
2012,TARIJA,SOCIEDAD COLECTIVA,2
2012,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1617
2012,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2013,BENI,EMPRESA UNIPERSONAL,5653
